id,league_id,user_team_id,round,pick,player_id,position,autopicked,time
1705893,1283,714,1,1,695,MID,0,8/03/2024 13:18
1705894,1283,719,1,2,138,DEF,0,8/03/2024 13:18
1705901,1283,718,1,3,706,RUC,0,8/03/2024 13:18
1705907,1283,717,1,4,459,MID,0,8/03/2024 13:18
1705908,1283,713,1,5,443,RUC,0,8/03/2024 13:19
1705909,1283,716,1,6,197,MID,0,8/03/2024 13:19
1705910,1283,715,1,7,458,MID,0,8/03/2024 13:19
1705913,1283,720,1,8,629,RUC,0,8/03/2024 13:19
1705915,1283,714,2,9,9,MID,0,8/03/2024 13:20
1705916,1283,719,2,10,362,MID,0,8/03/2024 13:20
1705917,1283,718,2,11,20,MID,0,8/03/2024 13:20
1705918,1283,717,2,12,350,RUC,0,8/03/2024 13:20
1705920,1283,713,2,13,526,MID,0,8/03/2024 13:20
1705921,1283,716,2,14,663,MID,0,8/03/2024 13:20
1705922,1283,715,2,15,425,DEF,0,8/03/2024 13:20
1705923,1283,720,2,16,342,DEF,0,8/03/2024 13:20
1705926,1283,714,3,17,537,DEF,0,8/03/2024 13:21
1705927,1283,719,3,18,662,RUC,0,8/03/2024 13:21
1705928,1283,718,3,19,483,MID,0,8/03/2024 13:21
1705929,1283,717,3,20,717,MID,0,8/03/2024 13:21
1705930,1283,713,3,21,242,MID,0,8/03/2024 13:21
1705931,1283,716,3,22,719,FWD,0,8/03/2024 13:21
1705932,1283,715,3,23,552,MID,0,8/03/2024 13:21
1705933,1283,720,3,24,54,MID,0,8/03/2024 13:21
1705934,1283,714,4,25,72,MID,0,8/03/2024 13:22
1705935,1283,719,4,26,198,MID,0,8/03/2024 13:22
1705937,1283,718,4,27,241,DEF,0,8/03/2024 13:22
1705938,1283,717,4,28,301,RUC,0,8/03/2024 13:22
1705939,1283,713,4,29,286,MID,0,8/03/2024 13:22
1705941,1283,716,4,30,666,FWD,0,8/03/2024 13:22
1705942,1283,715,4,31,215,MID,0,8/03/2024 13:22
1705943,1283,720,4,32,126,MID,0,8/03/2024 13:22
1705944,1283,714,5,33,640,MID,0,8/03/2024 13:22
1705945,1283,719,5,34,230,FWD,0,8/03/2024 13:22
1705946,1283,718,5,35,221,RUC,0,8/03/2024 13:23
1705947,1283,717,5,36,255,DEF,0,8/03/2024 13:23
1705949,1283,713,5,37,639,DEF,0,8/03/2024 13:23
1705950,1283,716,5,38,598,DEF,0,8/03/2024 13:23
1705953,1283,715,5,39,509,DEF,0,8/03/2024 13:23
1705954,1283,720,5,40,273,FWD,0,8/03/2024 13:23
1705956,1283,714,6,41,27,RUC,0,8/03/2024 13:23
1705957,1283,719,6,42,585,FWD,0,8/03/2024 13:24
1705958,1283,718,6,43,257,MID,0,8/03/2024 13:24
1705959,1283,717,6,44,690,MID,0,8/03/2024 13:24
1705961,1283,713,6,45,372,MID,0,8/03/2024 13:24
1705962,1283,716,6,46,590,RUC,0,8/03/2024 13:24
1705963,1283,715,6,47,703,FWD,0,8/03/2024 13:24
1705965,1283,720,6,48,518,RUC,0,8/03/2024 13:24
1705967,1283,714,7,49,120,DEF,0,8/03/2024 13:24
1705969,1283,719,7,50,93,MID,0,8/03/2024 13:25
1705970,1283,718,7,51,601,MID,0,8/03/2024 13:25
1705971,1283,717,7,52,139,MID,0,8/03/2024 13:25
1705972,1283,713,7,53,566,FWD,0,8/03/2024 13:25
1705973,1283,716,7,54,474,MID,0,8/03/2024 13:25
1705974,1283,715,7,55,67,MID,0,8/03/2024 13:25
1705975,1283,720,7,56,418,MID,0,8/03/2024 13:26
1705976,1283,714,8,57,671,DEF,0,8/03/2024 13:26
1705977,1283,719,8,58,293,MID,0,8/03/2024 13:26
1705978,1283,718,8,59,99,FWD,0,8/03/2024 13:26
1705979,1283,717,8,60,389,DEF,0,8/03/2024 13:26
1705980,1283,713,8,61,363,FWD,0,8/03/2024 13:26
1705981,1283,716,8,62,289,DEF,0,8/03/2024 13:26
1705982,1283,715,8,63,702,DEF,0,8/03/2024 13:27
1705984,1283,720,8,64,7,MID,0,8/03/2024 13:27
1705985,1283,714,9,65,355,MID,0,8/03/2024 13:27
1705986,1283,719,9,66,97,MID,0,8/03/2024 13:27
1705987,1283,718,9,67,730,MID,0,8/03/2024 13:27
1705989,1283,717,9,68,762,MID,0,8/03/2024 13:27
1705995,1283,713,9,69,193,MID,0,8/03/2024 13:28
1705996,1283,716,9,70,667,FWD,0,8/03/2024 13:28
1705997,1283,715,9,71,133,RUC,0,8/03/2024 13:28
1705998,1283,720,9,72,649,FWD,0,8/03/2024 13:28
1705999,1283,714,10,73,295,FWD,0,8/03/2024 13:28
1706000,1283,719,10,74,560,MID,0,8/03/2024 13:28
1706001,1283,718,10,75,137,MID,0,8/03/2024 13:28
1706002,1283,717,10,76,415,FWD,0,8/03/2024 13:28
1706003,1283,713,10,77,31,FWD,0,8/03/2024 13:29
1706013,1283,716,10,78,652,DEF,0,8/03/2024 13:29
1706015,1283,715,10,79,101,MID,0,8/03/2024 13:29
1706016,1283,720,10,80,307,FWD,0,8/03/2024 13:29
1706017,1283,714,11,81,615,MID,0,8/03/2024 13:30
